year,money,type,denom,value,number
1977,2.72,Notes,0001,1,2.72
1977,0.55,Notes,1000,1000,0.001
1977,1.48,Notes,0002,2,0.74
1977,9.95,Notes,0050,50,0.199
1977,6.9,Notes,0020,20,0.345
1977,43.02,Notes,0100,100,0.43
1977,,Notes,0500,500,
1977,18.25,Notes,0010,10,1.825
1977,5.72,Notes,0005,5,1.144
1978,,Notes,0500,500,
1978,19.57,Notes,0010,10,1.957
1978,14.4,Notes,0050,50,0.288
1978,5.76,Notes,0005,5,1.152
1978,7.79,Notes,0020,20,0.39
1978,2.56,Notes,0001,1,2.56
1978,,Notes,1000,1000,
1978,53.69,Notes,0100,100,0.537
1978,1.74,Notes,0002,2,0.87
1979,59.51,Notes,0100,100,0.595
1979,,Notes,1000,1000,
1979,9.61,Notes,0020,20,0.48
1979,2.15,Notes,0002,2,1.075
1979,5.88,Notes,0005,5,1.176
1979,19.83,Notes,0050,50,0.397
1979,,Notes,0500,500,
1979,21.23,Notes,0010,10,2.123
1979,2.14,Notes,0001,1,2.14
1980,6.34,Notes,0005,5,1.268
1980,74.06,Notes,0100,100,0.741
1980,,Notes,0500,500,
1980,20.97,Notes,0010,10,2.097
1980,,Notes,1000,1000,
1980,2.99,Notes,0002,2,1.495
1980,2.07,Notes,0001,1,2.07
1980,10.9,Notes,0020,20,0.545
1980,22.06,Notes,0050,50,0.441
1981,,Notes,1000,1000,
1981,6.92,Notes,0005,5,1.384
1981,2.12,Notes,0001,1,2.12
1981,,Notes,0500,500,
1981,27.24,Notes,0050,50,0.545
1981,19.91,Notes,0010,10,1.991
1981,78.29,Notes,0100,100,0.783
1981,3.92,Notes,0002,2,1.96
1981,12.14,Notes,0020,20,0.607
1982,,Notes,1000,1000,
1982,30.17,Notes,0050,50,0.603
1982,97.77,Notes,0100,100,0.978
1982,2.05,Notes,0001,1,2.05
1982,,Notes,0500,500,
1982,17.98,Notes,0010,10,1.798
1982,14.33,Notes,0020,20,0.716
1982,4.31,Notes,0002,2,2.155
1982,8.07,Notes,0005,5,1.614
1983,5.6,Notes,0005,5,1.12
1983,1.98,Notes,0001,1,1.98
1983,4.5,Notes,0002,2,2.25
1983,,Notes,1000,1000,
1983,14.63,Notes,0020,20,0.732
1983,36.26,Notes,0050,50,0.725
1983,116.9,Notes,0100,100,1.169
1983,,Notes,0500,500,
1983,17.7,Notes,0010,10,1.77
1984,,Notes,1000,1000,
1984,2.04,Notes,0001,1,2.04
1984,39.2,Notes,0050,50,0.784
1984,,Notes,0500,500,
1984,22.17,Notes,0010,10,2.217
1984,12.34,Notes,0005,5,2.468
1984,139.04,Notes,0100,100,1.39
1984,16.36,Notes,0020,20,0.818
1984,5.8,Notes,0002,2,2.9
1985,25.36,Notes,0010,10,2.536
1985,,Notes,1000,1000,
1985,6.5,Notes,0002,2,3.25
1985,13.03,Notes,0005,5,2.606
1985,2.38,Notes,0001,1,2.38
1985,17.84,Notes,0020,20,0.892
1985,43.1,Notes,0050,50,0.862
1985,150.18,Notes,0100,100,1.502
1985,,Notes,0500,500,
1986,52.47,Notes,0050,50,1.049
1986,25.1,Notes,0010,10,2.51
1986,18.99,Notes,0020,20,0.949
1986,171.16,Notes,0100,100,1.712
1986,12.87,Notes,0005,5,2.574
1986,6.83,Notes,0002,2,3.415
1986,,Notes,1000,1000,
1986,,Notes,0500,500,
1986,3.01,Notes,0001,1,3.01
1987,1.8,Notes,0500,500,0.004
1987,6.53,Notes,0002,2,3.265
1987,28.25,Notes,0010,10,2.825
1987,190.77,Notes,0100,100,1.908
1987,,Notes,1000,1000,
1987,72.67,Notes,0050,50,1.453
1987,14.29,Notes,0005,5,2.858
1987,23.31,Notes,0020,20,1.166
1987,3.52,Notes,0001,1,3.52
1988,3.6,Notes,0001,1,3.6
1988,14.82,Notes,0005,5,2.964
1988,29.96,Notes,0010,10,2.996
1988,,Notes,1000,1000,
1988,6.81,Notes,0002,2,3.405
1988,212.08,Notes,0100,100,2.121
1988,26.13,Notes,0020,20,1.306
1988,2.3,Notes,0500,500,0.005
1988,94.59,Notes,0050,50,1.892
1989,17.39,Notes,0005,5,3.478
1989,35.15,Notes,0010,10,3.515
1989,31.0,Notes,0020,20,1.55
1989,12.57,Notes,0500,500,0.025
1989,125.53,Notes,0050,50,2.511
1989,237.78,Notes,0100,100,2.378
1989,,Notes,1000,1000,
1989,3.48,Notes,0001,1,3.48
1989,8.04,Notes,0002,2,4.02
1990,,Notes,1000,1000,
1990,3.35,Notes,0001,1,3.35
1990,29.52,Notes,0020,20,1.476
1990,148.12,Notes,0050,50,2.962
1990,37.85,Notes,0010,10,3.785
1990,245.7,Notes,0100,100,2.457
1990,21.77,Notes,0500,500,0.044
1990,18.1,Notes,0005,5,3.62
1990,8.83,Notes,0002,2,4.415
1991,9.42,Notes,0002,2,4.71
1991,18.54,Notes,0500,500,0.037
1991,27.43,Notes,0020,20,1.372
1991,24.0,Notes,0005,5,4.8
1991,177.19,Notes,0050,50,3.544
1991,52.02,Notes,0010,10,5.202
1991,3.35,Notes,0001,1,3.35
1991,322.66,Notes,0100,100,3.227
1991,,Notes,1000,1000,
1992,49.1,Notes,0500,500,0.098
1992,225.77,Notes,0050,50,4.515
1992,3.35,Notes,0001,1,3.35
1992,42.85,Notes,0010,10,4.285
1992,20.22,Notes,0005,5,4.044
1992,23.4,Notes,0020,20,1.17
1992,7.2,Notes,0002,2,3.6
1992,,Notes,1000,1000,
1992,326.63,Notes,0100,100,3.266
1993,,Notes,1000,1000,
1993,3.28,Notes,0001,1,3.28
1993,18.6,Notes,0005,5,3.72
1993,16.31,Notes,0020,20,0.815
1993,377.84,Notes,0100,100,3.778
1993,6.24,Notes,0002,2,3.12
1993,53.34,Notes,0010,10,5.334
1993,249.91,Notes,0050,50,4.998
1993,113.03,Notes,0500,500,0.226
1994,464.57,Notes,0100,100,4.646
1994,285.37,Notes,0050,50,5.707
1994,6.02,Notes,0002,2,3.01
1994,,Notes,1000,1000,
1994,11.2,Notes,0020,20,0.56
1994,3.2,Notes,0001,1,3.2
1994,168.82,Notes,0500,500,0.338
1994,69.43,Notes,0010,10,6.943
1994,17.65,Notes,0005,5,3.53
1995,5.15,Notes,0002,2,2.575
1995,208.73,Notes,0500,500,0.417
1995,551.05,Notes,0100,100,5.51
1995,92.18,Notes,0010,10,9.218
1995,3.22,Notes,0001,1,3.22
1995,,Notes,1000,1000,
1995,316.59,Notes,0050,50,6.332
1995,16.51,Notes,0005,5,3.302
1995,7.18,Notes,0020,20,0.359
1996,626.0,Notes,0100,100,6.26
1996,242.7,Notes,0500,500,0.485
1996,,Notes,1000,1000,
1996,336.23,Notes,0050,50,6.725
1996,7.03,Notes,0020,20,0.352
1996,15.54,Notes,0005,5,3.108
1996,3.16,Notes,0001,1,3.16
1996,5.27,Notes,0002,2,2.635
1996,110.63,Notes,0010,10,11.063
1997,3.19,Notes,0001,1,3.19
1997,,Notes,1000,1000,
1997,342.45,Notes,0050,50,6.849
1997,5.5,Notes,0002,2,2.75
1997,14.27,Notes,0005,5,2.854
1997,701.59,Notes,0100,100,7.016
1997,9.79,Notes,0020,20,0.489
1997,279.75,Notes,0500,500,0.56
1997,124.12,Notes,0010,10,12.412
1998,333.16,Notes,0050,50,6.663
1998,12.9,Notes,0005,5,2.58
1998,448.27,Notes,0500,500,0.897
1998,5.3,Notes,0002,2,2.65
1998,,Notes,1000,1000,
1998,129.9,Notes,0010,10,12.99
1998,8.99,Notes,0020,20,0.45
1998,3.16,Notes,0001,1,3.16
1998,781.97,Notes,0100,100,7.82
1999,132.82,Notes,0010,10,13.282
1999,11.52,Notes,0005,5,2.304
1999,,Notes,1000,1000,
1999,3.08,Notes,0001,1,3.08
1999,5.12,Notes,0002,2,2.56
1999,858.31,Notes,0100,100,8.583
1999,572.5,Notes,0500,500,1.145
1999,10.1,Notes,0020,20,0.505
1999,332.3,Notes,0050,50,6.646
2000,328.18,Notes,0050,50,6.564
2000,529.47,Notes,0500,500,1.059
2000,123.36,Notes,0010,10,12.336
2000,10.16,Notes,0005,5,2.032
2000,4.71,Notes,0002,2,2.355
2000,10.12,Notes,0020,20,0.506
2000,1081.41,Notes,0100,100,10.814
2000,37.19,Notes,1000,1000,0.037
2000,3.07,Notes,0001,1,3.07
2001,15.31,Notes,0020,20,0.766
2001,1180.41,Notes,0100,100,11.804
2001,71.79,Notes,1000,1000,0.072
2001,356.01,Notes,0050,50,7.12
2001,3.08,Notes,0001,1,3.08
2001,685.12,Notes,0500,500,1.37
2001,12.64,Notes,0005,5,2.528
2001,5.38,Notes,0002,2,2.69
2001,119.89,Notes,0010,10,11.989
2002,17.39,Notes,0005,5,3.478
2002,1153.86,Notes,0100,100,11.539
2002,4.83,Notes,0002,2,2.415
2002,938.13,Notes,0500,500,1.876
2002,351.91,Notes,0050,50,7.038
2002,159.71,Notes,1000,1000,0.16
2002,3.05,Notes,0001,1,3.05
2002,34.25,Notes,0020,20,1.712
2002,90.88,Notes,0010,10,9.088
2003,1214.42,Notes,0100,100,12.144
2003,2.99,Notes,0001,1,2.99
2003,330.27,Notes,0050,50,6.605
2003,43.83,Notes,0020,20,2.192
2003,77.5,Notes,0010,10,7.75
2003,274.73,Notes,1000,1000,0.275
2003,4.72,Notes,0002,2,2.36
2003,1229.38,Notes,0500,500,2.459
2003,22.76,Notes,0005,5,4.552
2004,1527.28,Notes,0500,500,3.055
2004,2.99,Notes,0001,1,2.99
2004,38.76,Notes,0020,20,1.938
2004,4.62,Notes,0002,2,2.31
2004,67.7,Notes,0010,10,6.77
2004,299.41,Notes,0050,50,5.988
2004,1232.82,Notes,0100,100,12.328
2004,20.86,Notes,0005,5,4.172
2004,420.82,Notes,1000,1000,0.421
2005,40.77,Notes,0020,20,2.038
2005,1346.37,Notes,0100,100,13.464
2005,2.99,Notes,0001,1,2.99
2005,19.8,Notes,0005,5,3.96
2005,62.74,Notes,0010,10,6.274
2005,4.51,Notes,0002,2,2.255
2005,278.42,Notes,0050,50,5.568
2005,1823.32,Notes,0500,500,3.647
2005,643.46,Notes,1000,1000,0.643
2006,936.76,Notes,1000,1000,0.937
2006,3.01,Notes,0001,1,3.01
2006,2254.0,Notes,0500,500,4.508
2006,4.47,Notes,0002,2,2.235
2006,1354.44,Notes,0100,100,13.544
2006,18.87,Notes,0005,5,3.774
2006,279.51,Notes,0050,50,5.59
2006,71.55,Notes,0010,10,7.155
2006,41.78,Notes,0020,20,2.089
2007,1345.75,Notes,0100,100,13.458
2007,21.11,Notes,0005,5,4.222
2007,2631.08,Notes,0500,500,5.262
2007,6.36,Notes,0002,2,3.18
2007,265.08,Notes,0050,50,5.302
2007,41.08,Notes,0020,20,2.054
2007,93.33,Notes,0010,10,9.333
2007,3.0,Notes,0001,1,3.0
2007,1412.19,Notes,1000,1000,1.412
2008,1370.28,Notes,0100,100,13.703
2008,122.22,Notes,0010,10,12.222
2008,1917.84,Notes,1000,1000,1.918
2008,6.65,Notes,0002,2,3.325
2008,244.4,Notes,0050,50,4.888
2008,43.99,Notes,0020,20,2.2
2008,3.0,Notes,0001,1,3.0
2008,22.71,Notes,0005,5,4.542
2008,3083.04,Notes,0500,500,6.166
2009,210.57,Notes,0050,50,4.211
2009,3644.79,Notes,0500,500,7.29
2009,1383.64,Notes,0100,100,13.836
2009,22.33,Notes,0005,5,4.466
2009,185.36,Notes,0010,10,18.536
2009,6.98,Notes,0002,2,3.49
2009,2382.52,Notes,1000,1000,2.383
2009,2.99,Notes,0001,1,2.99
2009,46.81,Notes,0020,20,2.34
2010,4453.11,Notes,0500,500,8.906
2010,159.8,Notes,0050,50,3.196
2010,60.4,Notes,0020,20,3.02
2010,212.88,Notes,0010,10,21.288
2010,1402.43,Notes,0100,100,14.024
2010,3027.13,Notes,1000,1000,3.027
2010,8.51,Notes,0002,2,4.255
2010,34.3,Notes,0005,5,6.86
2010,2.99,Notes,0001,1,2.99
2011,2.99,Notes,0001,1,2.99
2011,36.43,Notes,0005,5,7.286
2011,5128.07,Notes,0500,500,10.256
2011,174.38,Notes,0050,50,3.488
2011,8.51,Notes,0002,2,4.255
2011,3468.81,Notes,1000,1000,3.469
2011,1411.88,Notes,0100,100,14.119
2011,230.02,Notes,0010,10,23.002
2011,70.2,Notes,0020,20,3.51
2012,76.5,Notes,0020,20,3.825
2012,251.68,Notes,0010,10,25.168
2012,4299.0,Notes,1000,1000,4.299
2012,5359.5,Notes,0500,500,10.719
2012,1442.1,Notes,0100,100,14.421
2012,8.51,Notes,0002,2,4.255
2012,173.05,Notes,0050,50,3.461
2012,36.87,Notes,0005,5,7.374
2012,2.99,Notes,0001,1,2.99
2013,2.99,Notes,0001,1,2.99
2013,5081.37,Notes,1000,1000,5.081
2013,1476.46,Notes,0100,100,14.765
2013,8.51,Notes,0002,2,4.255
2013,37.14,Notes,0005,5,7.428
2013,85.69,Notes,0020,20,4.284
2013,5702.48,Notes,0500,500,11.405
2013,266.48,Notes,0010,10,26.648
2013,172.42,Notes,0050,50,3.448
2014,2.99,Notes,0001,1,2.99
2014,1502.65,Notes,0100,100,15.026
2014,8.54,Notes,0002,2,4.27
2014,6563.91,Notes,0500,500,13.128
2014,5612.45,Notes,1000,1000,5.612
2014,303.04,Notes,0010,10,30.304
2014,37.02,Notes,0005,5,7.404
2014,86.99,Notes,0020,20,4.35
2014,174.36,Notes,0050,50,3.487
2015,36.8,Notes,0005,5,7.36
2015,194.5,Notes,0050,50,3.89
2015,8.53,Notes,0002,2,4.265
2015,1577.83,Notes,0100,100,15.778
2015,98.47,Notes,0020,20,4.924
2015,7853.75,Notes,0500,500,15.708
2015,3.09,Notes,0001,1,3.09
2015,320.15,Notes,0010,10,32.015
2015,6325.68,Notes,1000,1000,6.326
